=== JUNGLE.EXE segment 1 — 50 imported call sites
  seg2:d774  KERNEL.7         LOCALFREE
  seg2:d903  USER.420         _wsprintf
  seg2:da91  USER.104         MESSAGEBEEP
  seg2:db16  KERNEL.88        LSTRCPY
  seg2:de91  MMSYSTEM.607     TIMEGETTIME
  seg2:df0f  MMSYSTEM.607     TIMEGETTIME
  seg2:df4f  MMSYSTEM.607     TIMEGETTIME
  seg2:df8b  MMSYSTEM.607     TIMEGETTIME
  seg2:dfe1  MMSYSTEM.607     TIMEGETTIME
  seg2:e018  MMSYSTEM.607     TIMEGETTIME
  seg2:e051  MMSYSTEM.607     TIMEGETTIME
  seg2:e11a  JUNGS01.24       S_023
  seg2:e126  JUNGS01.11       S_010
  seg2:e12e  JUNGS01.7        S_006
  seg2:e1af  JUNGS01.24       S_023
  seg2:e1d5  JUNGS01.46       S_045
  seg2:e1ee  JUNGS01.26       S_025
  seg2:e204  JUNGS01.45       S_044
  seg2:e272  JUNGS01.12       S_011
  seg2:e371  JUNGR01.8        RESGETTYPE
  seg2:e487  JUNGS01.14       S_013
  seg2:e540  JUNGR01.8        RESGETTYPE
  seg2:e65d  JUNGR01.8        RESGETTYPE
  seg2:e691  JUNGS01.3        S_002
  seg2:e6d7  JUNGS01.47       S_046
  seg2:e727  JUNGR01.7        RESGETSIZE
  seg2:e949  MMSYSTEM.1210    MMIOOPEN
  seg2:e967  JUNGR01.16       RESSETCALLBACK
  seg2:e97b  JUNGR01.19       RESEXTRACTFILE
  seg2:e990  JUNGR01.16       RESSETCALLBACK
  seg2:e99b  MMSYSTEM.1211    MMIOCLOSE
  seg2:e9b4  MMSYSTEM.1210    MMIOOPEN
  seg2:e9e7  JUNGR01.23       RESGETCONSTSTR
  seg2:ea4f  USER.176         LOADSTRING
  seg2:ea6e  USER.420         _wsprintf
  seg2:ea87  USER.1           MESSAGEBOX
  seg2:eb4e  USER.109         PEEKMESSAGE
  seg2:eb97  USER.176         LOADSTRING
  seg2:ebb6  USER.420         _wsprintf
  seg2:ec25  KERNEL.113       __AHSHIFT
  seg2:ec30  JUNGU01.34       COPYHUGESTR
  seg2:ec65  USER.420         _wsprintf
  seg2:ec7f  USER.1           MESSAGEBOX
  seg2:ec94  USER.110         POSTMESSAGE
